GRAPH,TIME(s),LOWER BOUND,UPPER BOUND,GAP,TERMINATION CONDITION,CAPACITY,LENGTH
data_Graph10_50_0,0.9019613265991211,3.0,3.0,0.0,optimal,33,50
data_Graph10_50_1,1.1208736896514893,3.0,3.0,0.0,optimal,32,50
data_Graph10_50_2,1.7789742946624756,3.0,3.0,0.0,optimal,31,50
data_Graph10_50_1,1.129065752029419,3.0,3.0,0.0,optimal,32,50
data_Graph10_100_0,15.562895774841309,3.0,3.0,0.0,optimal,73,100
data_Graph10_150_1,49.77335262298584,3.0,3.0,0.0,optimal,121,150
data_Graph10_150_0,51.82316517829895,3.0,3.0,0.0,optimal,122,150
data_Graph10_150_2,47.25186800956726,3.0,3.0,0.0,optimal,120,150
data_Graph10_100_1,234.7002239227295,3.0,3.0,0.0,optimal,72,100
data_Graph10_100_2,443.06145691871643,3.0,3.0,0.0,optimal,71,100
data_Graph20_50_0,2.3828938007354736,3.0,3.0,0.0,optimal,36,50
data_Graph20_50_1,12.628803253173828,5.0,5.0,0.0,optimal,35,50
data_Graph20_50_2,69.34635257720947,5.0,5.0,0.0,optimal,34,50
data_Graph20_150_0,186.017151594162,3.0,3.0,0.0,optimal,130,150
data_Graph20_100_0,757.8853182792664,3.0,3.0,0.0,optimal,81,100
data_Graph20_100_1,2042.256261587143,5.0,5.0,0.0,optimal,80,100
data_Graph30_50_1,4.285250186920166,3.0,3.0,0.0,optimal,40,50
data_Graph30_50_2,2.978431224822998,3.0,3.0,0.0,optimal,39,50
data_Graph30_50_0,2.912912368774414,3.0,3.0,0.0,optimal,41,50
data_Graph30_150_0,123.59246158599854,3.0,3.0,0.0,optimal,137,150
data_Graph20_100_2,2351.5317656993866,None,None,0,infeasible,79,100
data_Graph30_150_1,284.57730054855347,3.0,3.0,0.0,optimal,136,150
data_Graph30_150_2,728.1373438835144,3.0,3.0,0.0,optimal,135,150
data_Graph30_100_2,1540.2681908607483,None,None,0,infeasible,84,100
data_Graph30_100_0,1663.1163012981415,3.0,3.0,0.0,optimal,86,100
data_Graph30_100_1,13653.662856578827,5.0,5.0,0.0,optimal,85,100
data_Graph40_50_1,3.649977922439575,3.0,3.0,0.0,optimal,41,50
data_Graph40_50_0,6.901020288467407,3.0,3.0,0.0,optimal,42,50
data_Graph50_50_0,4.20953631401062,3.0,3.0,0.0,optimal,44,50
data_Graph40_50_2,16.11320924758911,None,None,0,infeasible,40,50
data_Graph50_50_1,5.196590423583984,3.0,3.0,0.0,optimal,43,50
data_Graph50_50_2,61.54739212989807,5.0,5.0,0.0,optimal,42,50
data_Graph40_100_0,46.414408445358276,3.0,3.0,0.0,optimal,91,100
data_Graph40_100_1,56.07999086380005,3.0,3.0,0.0,optimal,90,100
data_Graph50_100_0,66.67340755462646,3.0,3.0,0.0,optimal,92,100
data_Graph40_100_2,167.70185899734497,3.0,3.0,0.0,optimal,89,100
data_Graph50_100_1,248.8687093257904,3.0,3.0,0.0,optimal,91,100
data_Graph40_150_0,172.92867302894592,3.0,3.0,0.0,optimal,141,150
data_Graph50_100_2,292.30455470085144,None,None,0,infeasible,90,100
data_Graph40_150_1,169.975510597229,3.0,3.0,0.0,optimal,140,150
data_Graph60_50_0,4.744461297988892,3.0,3.0,0.0,optimal,45,50
data_Graph60_50_1,5.077512264251709,3.0,3.0,0.0,optimal,44,50
data_Graph70_50_0,6.310494661331177,3.0,3.0,0.0,optimal,45,50
data_Graph70_50_2,7.352507829666138,None,None,0,infeasible,43,50
data_Graph60_50_2,57.51914834976196,None,None,0,infeasible,43,50
data_Graph70_50_1,57.04607534408569,5.0,5.0,0.0,optimal,44,50
data_Graph60_100_0,78.29024028778076,3.0,3.0,0.0,optimal,93,100
data_Graph70_100_1,149.49775338172913,3.0,3.0,0.0,optimal,94,100
data_Graph70_100_0,176.02340006828308,3.0,3.0,0.0,optimal,95,100
data_Graph60_100_2,313.41304421424866,None,None,0,infeasible,91,100
data_Graph80_50_0,7.02908730506897,3.0,3.0,0.0,optimal,46,50
data_Graph80_50_1,11.481750011444092,None,None,0,infeasible,45,50
data_Graph80_50_2,5.989235877990723,None,None,0,infeasible,44,50
data_Graph80_100_0,439.5384728908539,3.0,3.0,0.0,optimal,95,100
data_Graph80_100_2,550.6304233074188,None,None,0,infeasible,93,100
data_Graph70_100_2,685.3231360912323,None,None,0,infeasible,93,100
data_Graph80_100_1,636.5545711517334,None,None,0,infeasible,94,100
data_Graph90_50_1,0.8488113880157471,None,None,0,infeasible,45,50
data_Graph90_50_2,0.7471249103546143,None,None,0,infeasible,44,50
data_Graph90_50_0,19.571962118148804,5.0,5.0,0.0,optimal,46,50
data_Graph90_100_2,362.96079540252686,None,None,0,infeasible,94,100
data_Graph90_100_0,3681.0229983329773,3.0,3.0,0.0,optimal,96,100
data_Graph90_100_1,4755.12494802475,None,None,0,infeasible,95,100
data_Graph60_100_1,25858.40377497673,5.0,5.0,0.0,optimal,92,100
data_Graph90_8_0,6.397515773773193,None,None,0,infeasible,89,100
data_Graph90_6_0,5.563971996307373,None,None,0,infeasible,91,100
data_Graph90_9_0,4.882410287857056,None,None,0,infeasible,88,100
data_Graph90_7_0,6.552741527557373,None,None,0,infeasible,90,100
data_Graph90_0_0,239.7726001739502,3.0,3.0,0.0,optimal,97,100
data_Graph90_4_0,317.59001755714417,None,None,0,infeasible,93,100
data_Graph90_2_0,334.83547139167786,None,None,0,infeasible,95,100
data_Graph90_3_0,396.10435914993286,None,None,0,infeasible,94,100
data_Graph90_5_0,513.9274852275848,None,None,0,infeasible,92,100
data_Graph90_1_0,6478.972139120102,3.0,3.0,0.0,optimal,96,100


data_Graph90_0_0,239.7579414844513,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_4,246.63984513282776,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_15,250.5991337299347,3.0,3.0,0.0,optimal,97,100
data_Graph90_0_12,252.19257307052612,3.0,3.0,0.0,optimal,97,100
